,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
17,"(1, 3, 5, 6, 7, 8, 10, 13, 16, 17, 25, 29, 36, 51, 73, 77, 78)",[-0.16026321 -0.16180926 -0.17638244 -0.16057642 -0.15154766],-0.16211579899689504,"('_BldgType_1', '_GrLivArea', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Functional', '_Electrical', '_LotArea', '_OverallCond', '_Neighborhood_9', '_HouseStyle_3', '_Neighborhood_1', '_MSZoning_1', '_HouseStyle_4', '_Neighborhood_2', '_OpenPorchSF', '_Foundation_1')",0.010300276836968741,0.008013965313419798,0.004006982656709899
18,"(1, 3, 5, 6, 7, 8, 10, 13, 14, 16, 17, 25, 29, 36, 51, 73, 77, 78)",[-0.16749661 -0.1450769  -0.16963529 -0.16102713 -0.16315319],-0.16127782219757303,"('_BldgType_1', '_GrLivArea', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Functional', '_Electrical', '_LotArea', '_GarageArea', '_OverallCond', '_Neighborhood_9', '_HouseStyle_3', '_Neighborhood_1', '_MSZoning_1', '_HouseStyle_4', '_Neighborhood_2', '_OpenPorchSF', '_Foundation_1')",0.011124567136753213,0.008655291170502802,0.0043276455852514
19,"(1, 3, 5, 6, 7, 8, 10, 13, 14, 16, 17, 25, 29, 36, 51, 73, 77, 78, 79)",[-0.14672965 -0.16599186 -0.17459258 -0.1565973  -0.16461297],-0.1617048724370453,"('_BldgType_1', '_GrLivArea', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Functional', '_Electrical', '_LotArea', '_GarageArea', '_OverallCond', '_Neighborhood_9', '_HouseStyle_3', '_Neighborhood_1', '_MSZoning_1', '_HouseStyle_4', '_Neighborhood_2', '_OpenPorchSF', '_Foundation_1', '_MSSubClass_2')",0.012101860132771454,0.00941565832326014,0.00470782916163007
20,"(1, 3, 5, 6, 7, 8, 10, 13, 14, 16, 17, 22, 25, 29, 36, 51, 73, 77, 78, 79)",[-0.15947653 -0.14337524 -0.17524916 -0.17972281 -0.14615817],-0.1607963825765369,"('_BldgType_1', '_GrLivArea', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Functional', '_Electrical', '_LotArea', '_GarageArea', '_OverallCond', '_Neighborhood_9', '_BsmtUnfSF', '_HouseStyle_3', '_Neighborhood_1', '_MSZoning_1', '_HouseStyle_4', '_Neighborhood_2', '_OpenPorchSF', '_Foundation_1', '_MSSubClass_2')",0.01894754391350499,0.014741832875048605,0.0073709164375243014
21,"(1, 3, 5, 6, 7, 8, 10, 13, 14, 16, 17, 22, 25, 29, 36, 51, 55, 73, 77, 78, 79)",[-0.15799954 -0.14417683 -0.18421525 -0.16250732 -0.14699254],-0.15917829760371907,"('_BldgType_1', '_GrLivArea', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Functional', '_Electrical', '_LotArea', '_GarageArea', '_OverallCond', '_Neighborhood_9', '_BsmtUnfSF', '_HouseStyle_3', '_Neighborhood_1', '_MSZoning_1', '_HouseStyle_4', '_MasVnrType_Stone', '_Neighborhood_2', '_OpenPorchSF', '_Foundation_1', '_MSSubClass_2')",0.018293239873495237,0.01423276210306227,0.007116381051531135
22,"(1, 3, 5, 6, 7, 8, 10, 13, 14, 16, 17, 22, 25, 29, 36, 51, 55, 66, 73, 77, 78, 79)",[-0.17099044 -0.14360888 -0.18393507 -0.16223266 -0.14084246],-0.16032190219127335,"('_BldgType_1', '_GrLivArea', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Functional', '_Electrical', '_LotArea', '_GarageArea', '_OverallCond', '_Neighborhood_9', '_BsmtUnfSF', '_HouseStyle_3', '_Neighborhood_1', '_MSZoning_1', '_HouseStyle_4', '_MasVnrType_Stone', '_LotConfig_3', '_Neighborhood_2', '_OpenPorchSF', '_Foundation_1', '_MSSubClass_2')",0.02099257504688668,0.016332936573248573,0.008166468286624286
23,"(1, 3, 5, 6, 7, 8, 10, 13, 14, 16, 17, 22, 25, 29, 34, 36, 51, 55, 66, 73, 77, 78, 79)",[-0.15614922 -0.15085701 -0.17283989 -0.16473243 -0.14420286],-0.15775628256719823,"('_BldgType_1', '_GrLivArea', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Functional', '_Electrical', '_LotArea', '_GarageArea', '_OverallCond', '_Neighborhood_9', '_BsmtUnfSF', '_HouseStyle_3', '_Neighborhood_1', '_PavedDrive', '_MSZoning_1', '_HouseStyle_4', '_MasVnrType_Stone', '_LotConfig_3', '_Neighborhood_2', '_OpenPorchSF', '_Foundation_1', '_MSSubClass_2')",0.01298156340777483,0.010100097357624344,0.005050048678812171
24,"(1, 3, 5, 6, 7, 8, 10, 13, 14, 16, 17, 22, 25, 29, 31, 34, 36, 51, 55, 66, 73, 77, 78, 79)",[-0.16291788 -0.14562608 -0.18529935 -0.16216391 -0.13846692],-0.15889482763248797,"('_BldgType_1', '_GrLivArea', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Functional', '_Electrical', '_LotArea', '_GarageArea', '_OverallCond', '_Neighborhood_9', '_BsmtUnfSF', '_HouseStyle_3', '_Neighborhood_1', '_BsmtQual', '_PavedDrive', '_MSZoning_1', '_HouseStyle_4', '_MasVnrType_Stone', '_LotConfig_3', '_Neighborhood_2', '_OpenPorchSF', '_Foundation_1', '_MSSubClass_2')",0.020863161093819332,0.016232248121144842,0.008116124060572421
25,"(1, 3, 5, 6, 7, 8, 10, 13, 14, 16, 17, 22, 25, 29, 31, 34, 36, 51, 55, 66, 70, 73, 77, 78, 79)",[-0.16264732 -0.15344952 -0.18051498 -0.1656759  -0.13882159],-0.1602218624128519,"('_BldgType_1', '_GrLivArea', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Functional', '_Electrical', '_LotArea', '_GarageArea', '_OverallCond', '_Neighborhood_9', '_BsmtUnfSF', '_HouseStyle_3', '_Neighborhood_1', '_BsmtQual', '_PavedDrive', '_MSZoning_1', '_HouseStyle_4', '_MasVnrType_Stone', '_LotConfig_3', '_GarageType_Detchd', '_Neighborhood_2', '_OpenPorchSF', '_Foundation_1', '_MSSubClass_2')",0.017728408124423008,0.013793303813093127,0.006896651906546563
26,"(1, 3, 5, 6, 7, 8, 10, 13, 14, 16, 17, 22, 25, 29, 31, 34, 36, 51, 53, 55, 66, 70, 73, 77, 78, 79)",[-0.16143142 -0.13813849 -0.17499953 -0.16036327 -0.14247506],-0.1554815543393638,"('_BldgType_1', '_GrLivArea', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Functional', '_Electrical', '_LotArea', '_GarageArea', '_OverallCond', '_Neighborhood_9', '_BsmtUnfSF', '_HouseStyle_3', '_Neighborhood_1', '_BsmtQual', '_PavedDrive', '_MSZoning_1', '_HouseStyle_4', '_Exterior_Plywood', '_MasVnrType_Stone', '_LotConfig_3', '_GarageType_Detchd', '_Neighborhood_2', '_OpenPorchSF', '_Foundation_1', '_MSSubClass_2')",0.01734080084074012,0.013491732178094462,0.00674586608904723
